| ticks:3996 | x-axis=-19 | y-axis=21 | z-axis=-276 |
| ticks:4018 | x-axis=-19 | y-axis=21 | z-axis=-276 |
| ticks:4039 | x-axis=-17 | y-axis=19 | z-axis=-271 |
| ticks:4053 | x-axis=-17 | y-axis=19 | z-axis=-271 |
| ticks:4068 | x-axis=-17 | y-axis=19 | z-axis=-271 |
| ticks:4082 | x-axis=-17 | y-axis=19 | z-axis=-271 |
| ticks:4096 | x-axis=-17 | y-axis=19 | z-axis=-271 |
| ticks:4111 | x-axis=-17 | y-axis=19 | z-axis=-271 |
| ticks:4125 | x-axis=-17 | y-axis=19 | z-axis=-271 |
| ticks:4139 | x-axis=-17 | y-axis=19 | z-axis=-271 |
| ticks:4167 | x-axis=-17 | y-axis=19 | z-axis=-271 |
| ticks:4182 | x-axis=-17 | y-axis=19 | z-axis=-271 |
| ticks:4202 | x-axis=-9 | y-axis=20 | z-axis=-273 |
| ticks:4216 | x-axis=-9 | y-axis=20 | z-axis=-273 |
| ticks:4241 | x-axis=-9 | y-axis=20 | z-axis=-273 |
| ticks:4340 | x-axis=-9 | y-axis=20 | z-axis=-273 |
| ticks:4351 | x-axis=-9 | y-axis=20 | z-axis=-273 |
| ticks:4363 | x-axis=-9 | y-axis=20 | z-axis=-273 |
| ticks:4374 | x-axis=-9 | y-axis=20 | z-axis=-273 |
| ticks:4385 | x-axis=-9 | y-axis=20 | z-axis=-273 |
| ticks:4403 | x-axis=-9 | y-axis=20 | z-axis=-273 |
| ticks:4414 | x-axis=-9 | y-axis=20 | z-axis=-273 |
| ticks:4426 | x-axis=-16 | y-axis=20 | z-axis=-284 |
| ticks:4437 | x-axis=-16 | y-axis=20 | z-axis=-284 |
| ticks:4448 | x-axis=-16 | y-axis=20 | z-axis=-284 |
| ticks:4459 | x-axis=-16 | y-axis=20 | z-axis=-284 |
| ticks:4470 | x-axis=-16 | y-axis=20 | z-axis=-284 |
| ticks:4481 | x-axis=-16 | y-axis=20 | z-axis=-284 |
| ticks:4492 | x-axis=-16 | y-axis=20 | z-axis=-284 |
| ticks:4508 | x-axis=-16 | y-axis=20 | z-axis=-284 |
| ticks:4519 | x-axis=-16 | y-axis=20 | z-axis=-284 |
| ticks:4530 | x-axis=-16 | y-axis=20 | z-axis=-284 |
| ticks:4548 | x-axis=-18 | y-axis=22 | z-axis=-271 |
| ticks:4559 | x-axis=-18 | y-axis=22 | z-axis=-271 |
| ticks:4570 | x-axis=-18 | y-axis=22 | z-axis=-271 |
| ticks:4581 | x-axis=-18 | y-axis=22 | z-axis=-271 |
| ticks:4592 | x-axis=-18 | y-axis=22 | z-axis=-271 |
| ticks:4603 | x-axis=-18 | y-axis=22 | z-axis=-271 |
| ticks:4614 | x-axis=-18 | y-axis=22 | z-axis=-271 |
| ticks:4631 | x-axis=-18 | y-axis=22 | z-axis=-271 |
| ticks:4642 | x-axis=-18 | y-axis=22 | z-axis=-271 |
| ticks:4653 | x-axis=-18 | y-axis=22 | z-axis=-271 |
| ticks:4674 | x-axis=-19 | y-axis=17 | z-axis=-270 |
| ticks:4685 | x-axis=-19 | y-axis=17 | z-axis=-270 |
| ticks:4696 | x-axis=-19 | y-axis=17 | z-axis=-270 |
| ticks:4707 | x-axis=-19 | y-axis=17 | z-axis=-270 |
| ticks:4718 | x-axis=-19 | y-axis=17 | z-axis=-270 |
| ticks:4852 | x-axis=-19 | y-axis=17 | z-axis=-270 |
| ticks:5064 | x-axis=-19 | y-axis=17 | z-axis=-270 |
| ticks:5208 | x-axis=-19 | y-axis=17 | z-axis=-270 |
| ticks:5227 | x-axis=-19 | y-axis=17 | z-axis=-270 |
| ticks:5246 | x-axis=-19 | y-axis=17 | z-axis=-270 |
