| ticks:3966 | x-axis=222 | y-axis=-299 | z-axis=-168 |
| ticks:3977 | x-axis=222 | y-axis=-299 | z-axis=-168 |
| ticks:3988 | x-axis=222 | y-axis=-299 | z-axis=-168 |
| ticks:3999 | x-axis=222 | y-axis=-299 | z-axis=-168 |
| ticks:4010 | x-axis=222 | y-axis=-299 | z-axis=-168 |
| ticks:4021 | x-axis=222 | y-axis=-299 | z-axis=-168 |
| ticks:4033 | x-axis=166 | y-axis=54 | z-axis=-202 |
| ticks:4050 | x-axis=166 | y-axis=54 | z-axis=-202 |
| ticks:4060 | x-axis=166 | y-axis=54 | z-axis=-202 |
| ticks:4071 | x-axis=166 | y-axis=54 | z-axis=-202 |
| ticks:4082 | x-axis=166 | y-axis=54 | z-axis=-202 |
| ticks:4093 | x-axis=166 | y-axis=54 | z-axis=-202 |
| ticks:4103 | x-axis=166 | y-axis=54 | z-axis=-202 |
| ticks:4114 | x-axis=166 | y-axis=54 | z-axis=-202 |
| ticks:4137 | x-axis=166 | y-axis=54 | z-axis=-202 |
| ticks:4148 | x-axis=166 | y-axis=54 | z-axis=-202 |
| ticks:4160 | x-axis=-188 | y-axis=-160 | z-axis=-51 |
| ticks:4176 | x-axis=-188 | y-axis=-160 | z-axis=-51 |
| ticks:4187 | x-axis=-188 | y-axis=-160 | z-axis=-51 |
| ticks:4198 | x-axis=-188 | y-axis=-160 | z-axis=-51 |
| ticks:4210 | x-axis=-188 | y-axis=-160 | z-axis=-51 |
| ticks:4221 | x-axis=-188 | y-axis=-160 | z-axis=-51 |
| ticks:4232 | x-axis=-188 | y-axis=-160 | z-axis=-51 |
| ticks:4243 | x-axis=-188 | y-axis=-160 | z-axis=-51 |
| ticks:4254 | x-axis=-188 | y-axis=-160 | z-axis=-51 |
| ticks:4265 | x-axis=-188 | y-axis=-160 | z-axis=-51 |
| ticks:4283 | x-axis=164 | y-axis=-37 | z-axis=-90 |
| ticks:4294 | x-axis=164 | y-axis=-37 | z-axis=-90 |
| ticks:4305 | x-axis=164 | y-axis=-37 | z-axis=-90 |
| ticks:4316 | x-axis=164 | y-axis=-37 | z-axis=-90 |
| ticks:4327 | x-axis=164 | y-axis=-37 | z-axis=-90 |
| ticks:4338 | x-axis=164 | y-axis=-37 | z-axis=-90 |
| ticks:4362 | x-axis=164 | y-axis=-37 | z-axis=-90 |
| ticks:4373 | x-axis=164 | y-axis=-37 | z-axis=-90 |
| ticks:4384 | x-axis=164 | y-axis=-37 | z-axis=-90 |
| ticks:4400 | x-axis=164 | y-axis=-37 | z-axis=-90 |
| ticks:4413 | x-axis=27 | y-axis=263 | z-axis=82 |
| ticks:4426 | x-axis=27 | y-axis=263 | z-axis=82 |
| ticks:4442 | x-axis=27 | y-axis=263 | z-axis=82 |
| ticks:4453 | x-axis=27 | y-axis=263 | z-axis=82 |
| ticks:4464 | x-axis=27 | y-axis=263 | z-axis=82 |
| ticks:4475 | x-axis=27 | y-axis=263 | z-axis=82 |
| ticks:4486 | x-axis=27 | y-axis=263 | z-axis=82 |
| ticks:4498 | x-axis=27 | y-axis=263 | z-axis=82 |
| ticks:4509 | x-axis=27 | y-axis=263 | z-axis=82 |
| ticks:4526 | x-axis=27 | y-axis=263 | z-axis=82 |
| ticks:4538 | x-axis=325 | y-axis=318 | z-axis=-315 |
| ticks:4549 | x-axis=325 | y-axis=318 | z-axis=-315 |
| ticks:4561 | x-axis=325 | y-axis=318 | z-axis=-315 |
| ticks:4584 | x-axis=325 | y-axis=318 | z-axis=-315 |
| ticks:4595 | x-axis=325 | y-axis=318 | z-axis=-315 |
| ticks:4607 | x-axis=325 | y-axis=318 | z-axis=-315 |
| ticks:4618 | x-axis=325 | y-axis=318 | z-axis=-315 |
| ticks:4629 | x-axis=325 | y-axis=318 | z-axis=-315 |
| ticks:4640 | x-axis=325 | y-axis=318 | z-axis=-315 |
| ticks:4651 | x-axis=325 | y-axis=318 | z-axis=-315 |
| ticks:4663 | x-axis=97 | y-axis=-232 | z-axis=-190 |
| ticks:4674 | x-axis=97 | y-axis=-232 | z-axis=-190 |
