| ticks:5017 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5028 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5045 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5056 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5068 | x-axis=-42 | y-axis=0 | z-axis=-273 |
| ticks:5084 | x-axis=-41 | y-axis=0 | z-axis=-274 |
| ticks:5096 | x-axis=-41 | y-axis=0 | z-axis=-274 |
| ticks:5107 | x-axis=-41 | y-axis=0 | z-axis=-274 |
| ticks:5118 | x-axis=-41 | y-axis=0 | z-axis=-274 |
| ticks:5129 | x-axis=-41 | y-axis=0 | z-axis=-274 |
| ticks:5140 | x-axis=-41 | y-axis=0 | z-axis=-274 |
| ticks:5152 | x-axis=-41 | y-axis=0 | z-axis=-274 |
| ticks:5167 | x-axis=-41 | y-axis=0 | z-axis=-274 |
| ticks:5179 | x-axis=-41 | y-axis=0 | z-axis=-274 |
| ticks:5190 | x-axis=-41 | y-axis=0 | z-axis=-274 |
| ticks:5206 | x-axis=-42 | y-axis=-1 | z-axis=-273 |
| ticks:5218 | x-axis=-42 | y-axis=-1 | z-axis=-273 |
| ticks:5229 | x-axis=-42 | y-axis=-1 | z-axis=-273 |
| ticks:5240 | x-axis=-42 | y-axis=-1 | z-axis=-273 |
| ticks:5251 | x-axis=-42 | y-axis=-1 | z-axis=-273 |
| ticks:5262 | x-axis=-42 | y-axis=-1 | z-axis=-273 |
| ticks:5273 | x-axis=-42 | y-axis=-1 | z-axis=-273 |
| ticks:5291 | x-axis=-42 | y-axis=-1 | z-axis=-273 |
| ticks:5301 | x-axis=-42 | y-axis=-1 | z-axis=-273 |
| ticks:5313 | x-axis=-42 | y-axis=-1 | z-axis=-273 |
| ticks:5329 | x-axis=-43 | y-axis=0 | z-axis=-273 |
| ticks:5341 | x-axis=-43 | y-axis=0 | z-axis=-273 |
| ticks:5351 | x-axis=-43 | y-axis=0 | z-axis=-273 |
| ticks:5362 | x-axis=-43 | y-axis=0 | z-axis=-273 |
| ticks:5373 | x-axis=-43 | y-axis=0 | z-axis=-273 |
| ticks:5384 | x-axis=-43 | y-axis=0 | z-axis=-273 |
| ticks:5400 | x-axis=-43 | y-axis=0 | z-axis=-273 |
| ticks:5411 | x-axis=-43 | y-axis=0 | z-axis=-273 |
| ticks:5421 | x-axis=-43 | y-axis=0 | z-axis=-273 |
| ticks:5432 | x-axis=-43 | y-axis=0 | z-axis=-273 |
